GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
predix-oracle-ops,com.predix.oracle.mq,OracleJobConsumer,72,0,2,0,18,0,5,0,4,0
predix-oracle-ops,com.predix.oracle.mq,OracleMqPublisher,21,0,0,0,6,0,3,0,3,0
predix-oracle-ops,com.predix.oracle.domain,JobStatus,0,39,0,0,0,7,0,1,0,1
predix-oracle-ops,com.predix.oracle.domain,TxStatus,0,27,0,0,0,5,0,1,0,1
predix-oracle-ops,com.predix.oracle.domain,JobType,0,33,0,0,0,6,0,1,0,1
predix-oracle-ops,com.predix.oracle.domain,UmaActionType,0,33,0,0,0,6,0,1,0,1
predix-oracle-ops,com.predix.oracle.domain,ActorType,0,21,0,0,0,4,0,1,0,1
predix-oracle-ops,com.predix.oracle.domain,ResolutionPhase,0,45,0,0,0,8,0,1,0,1
predix-oracle-ops,com.predix.oracle,PredixOracleOpsApplication,8,0,0,0,3,0,2,0,2,0
predix-oracle-ops,com.predix.oracle.scheduler,OracleScheduler,36,0,0,0,8,0,5,0,5,0
predix-oracle-ops,com.predix.oracle.repository.entity,UmaTransactionEntity,7,0,2,0,2,0,2,0,1,0
predix-oracle-ops,com.predix.oracle.repository.entity,ResolutionAuditEntity,7,0,2,0,2,0,2,0,1,0
predix-oracle-ops,com.predix.oracle.repository.entity,OracleSourceEntity,19,0,4,0,6,0,4,0,2,0
predix-oracle-ops,com.predix.oracle.repository.entity,ResolutionJobEntity,26,0,6,0,7,0,5,0,2,0
predix-oracle-ops,com.predix.oracle.repository.entity,OracleEvidenceEntity,7,0,2,0,2,0,2,0,1,0
predix-oracle-ops,com.predix.oracle.client,MatchingEngineClient,40,4,2,0,9,1,2,1,1,1
predix-oracle-ops,com.predix.oracle.client,MarketSchemaClient,221,4,12,0,50,1,13,1,7,1
predix-oracle-ops,com.predix.oracle.client,MarketSchemaClient.new ParameterizedTypeReference() {...},3,0,0,0,1,0,1,0,1,0
predix-oracle-ops,com.predix.oracle.oracle,Web3jUmaClient,119,0,0,0,26,0,8,0,8,0
predix-oracle-ops,com.predix.oracle.oracle,StubUmaClient,2,196,4,4,0,57,4,6,0,6
predix-oracle-ops,com.predix.oracle.controller,ResolutionJobController,57,0,2,0,11,0,7,0,6,0
predix-oracle-ops,com.predix.oracle.controller,UmaController,12,0,0,0,2,0,2,0,2,0
predix-oracle-ops,com.predix.oracle.controller,OracleSourceController,32,0,0,0,5,0,5,0,5,0
predix-oracle-ops,com.predix.oracle.controller,EvidenceController,21,0,2,0,4,0,3,0,2,0
predix-oracle-ops,com.predix.oracle.service,ResolutionJobExecutor,122,362,26,14,20,72,19,12,1,8
predix-oracle-ops,com.predix.oracle.service,ResolutionStateMachine,23,63,7,7,6,18,7,8,0,4
predix-oracle-ops,com.predix.oracle.service,ResolutionJobService,67,207,8,8,14,59,11,8,4,7
predix-oracle-ops,com.predix.oracle.service,MarketResolutionOrchestrator,40,117,2,2,10,27,4,6,2,6
predix-oracle-ops,com.predix.oracle.service,UmaTransactionService,5,37,0,0,1,13,1,1,1,1
predix-oracle-ops,com.predix.oracle.service,OracleSourceService,37,69,6,6,4,15,8,4,2,4
predix-oracle-ops,com.predix.oracle.service,RetryPolicyService,5,29,0,2,1,4,1,3,1,2
predix-oracle-ops,com.predix.oracle.service,DistributedLockService,50,41,5,3,11,10,4,3,1,2
predix-oracle-ops,com.predix.oracle.config,JacksonConfig,20,0,0,0,5,0,2,0,2,0
predix-oracle-ops,com.predix.oracle.config,TraceIdFilter,29,0,4,0,9,0,4,0,2,0
predix-oracle-ops,com.predix.oracle.config,OpenApiConfig,17,0,0,0,6,0,2,0,2,0
predix-oracle-ops,com.predix.oracle.config,WebMvcConfig,13,0,0,0,3,0,1,0,1,0
predix-oracle-ops,com.predix.oracle.config,AmqpConfig,25,0,0,0,8,0,3,0,3,0
predix-oracle-ops,com.predix.oracle.config,RedisLockConfig,15,0,0,0,3,0,3,0,3,0
predix-oracle-ops,com.predix.oracle.config,RabbitMqConfig,47,0,0,0,9,0,9,0,9,0
predix-oracle-ops,com.predix.oracle.config,RestClientConfig,12,0,0,0,5,0,2,0,2,0
predix-oracle-ops,com.predix.oracle.controller.dto,ApiResponse,1,32,1,1,0,15,1,3,0,3
predix-oracle-ops,com.predix.oracle.crawler,EvidenceCollectionService,13,137,2,4,3,36,3,3,1,2
predix-oracle-ops,com.predix.oracle.crawler,EvidenceAggregator,11,113,4,18,6,19,4,9,0,2
predix-oracle-ops,com.predix.oracle.crawler,HttpSourceCrawler,37,97,5,7,5,23,5,3,0,2
predix-oracle-ops,com.predix.oracle.audit,AuditService,0,21,0,0,0,10,0,1,0,1
predix-oracle-ops,com.predix.oracle.exception,OracleErrorCode,0,99,0,0,0,13,0,1,0,1
predix-oracle-ops,com.predix.oracle.exception,OracleException,8,7,0,0,3,3,1,1,1,1
predix-oracle-ops,com.predix.oracle.exception,GlobalExceptionHandler,43,39,5,2,14,11,7,5,2,5
predix-oracle-ops,com.predix.oracle.config.security,AdminTokenInterceptor,80,0,24,0,15,0,13,0,1,0
